metric,dataset,scenario,target_method,baseline_method,n_paired_folds,mean_difference,sd_difference,wilcoxon_statistic,wilcoxon_p_two_sided,wilcoxon_p_fdr_bh
aupr,biosnap,random,arnoldi_s12,arnoldi_s1,15,0.03802355771640677,0.0036766960671083784,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,random,arnoldi_s12,arnoldi_s2,15,0.009660213116963901,0.0021515039364842837,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,random,arnoldi_s12,arnoldi_s12_shuffle,15,0.1732896955893549,0.011519845361874028,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_drug,arnoldi_s12,lr,15,0.3462953955029178,0.01714506449401882,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_drug,arnoldi_s12,mlp,15,0.13902979320885897,0.016802680264757966,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_drug,arnoldi_s12,gcn,15,0.19302502367798605,0.014034232150211184,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_drug,arnoldi_s12,colddti,15,0.17128522244927477,0.018905681780362033,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_drug,arnoldi_s12,drugban,15,0.046596819129091714,0.013014073382391717,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_drug,arnoldi_s12,arnoldi_v4,15,0.1489005490974799,0.022329734197117816,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_drug,arnoldi_s12,arnoldi_s1,15,0.0011213076216463355,0.007302732495366052,54.0,0.76153564453125,0.7985033942657767
aupr,biosnap,cold_drug,arnoldi_s12,arnoldi_s2,15,0.01376069959076994,0.008966266266276335,1.0,0.0001220703125,0.00019246122262773724
aupr,biosnap,cold_drug,arnoldi_s12,arnoldi_s12_shuffle,15,0.14649628013521793,0.01880930415073803,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_protein,arnoldi_s12,lr,15,0.2939838860204464,0.03443598404032413,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_protein,arnoldi_s12,mlp,15,-0.03728991399477691,0.026066635609402734,1.0,0.0001220703125,0.00019246122262773724
aupr,biosnap,cold_protein,arnoldi_s12,gcn,15,0.3842923220062097,0.04164573839125007,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_protein,arnoldi_s12,colddti,15,0.34725087728382265,0.06666666544386274,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_protein,arnoldi_s12,drugban,15,0.27525259995479334,0.038247457500564096,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_protein,arnoldi_s12,arnoldi_v4,15,0.25438331495692745,0.053473830377275086,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_protein,arnoldi_s12,arnoldi_s1,15,0.11016274323431076,0.02676171484352026,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_protein,arnoldi_s12,arnoldi_s2,15,0.03870407067975679,0.03225341275924901,6.0,0.0008544921875,0.0012555803571428572
aupr,biosnap,cold_protein,arnoldi_s12,arnoldi_s12_shuffle,15,0.24502266578332063,0.05445057572217857,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_pair,arnoldi_s12,lr,15,0.2171062975665516,0.040662327052858944,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_pair,arnoldi_s12,mlp,15,0.026837019972234148,0.038004151820781436,21.0,0.02557373046875,0.033077399887724554
aupr,biosnap,cold_pair,arnoldi_s12,gcn,15,0.22747892383206386,0.03193763930263902,0.0,6.103515625e-05,9.912476503759398e-05
aupr,biosnap,cold_pair,arnoldi_s12,colddti,15,0.1908452838165557,0.03795899203684155,0.0,6.103515625e-05,9.912476503759398e-05
