method,method_label,dataset,scenario,auc_mean,auc_std,auc_count,aupr_mean,aupr_std,aupr_count,f1_mean,f1_std,f1_count,accuracy_mean,accuracy_std,accuracy_count
arnoldi_s2,ArnoldiGCL + S2,human,cold_pair,0.6175624537055749,0.09802667207273637,15,0.1803131154856617,0.07218636212348421,15,0.19733406730284686,0.05032914931191972,15,0.663691367919106,0.2007238684561498,15
arnoldi_s2,ArnoldiGCL + S2,human,cold_protein,0.754594185708047,0.038513900326088445,15,0.4922176558190424,0.07929634401026489,15,0.4663311054104826,0.09099192651191076,15,0.9006520414968577,0.07564036506791129,15
arnoldi_s2,ArnoldiGCL + S2,human,random,0.931029214933586,0.0061875772240642755,15,0.749298132083616,0.01968544298125534,15,0.6799486246623836,0.02486716543096301,15,0.9471729291384272,0.0031459498545329603,15
arnoldi_v4,ArnoldiGCL without S1/S2,bindingdb,cold_drug,0.9284009046932902,0.003593087479652051,15,0.6600229145409151,0.02336282901942517,15,0.6158321540514684,0.016731943592748343,15,0.9239670276398948,0.005724903913651659,15
arnoldi_v4,ArnoldiGCL without S1/S2,bindingdb,cold_pair,0.5801650719801491,0.043388759481906146,15,0.11803378776913993,0.019462349292269386,15,0.17452440908070818,0.02906573164747591,15,0.6466950039670719,0.14236982195300282,15
arnoldi_v4,ArnoldiGCL without S1/S2,bindingdb,cold_protein,0.5584741132407453,0.04765480757994405,15,0.1337933622663508,0.022941881872355893,15,0.1715589419049758,0.009402601083095376,15,0.3381903470030059,0.20362684578454862,15
arnoldi_v4,ArnoldiGCL without S1/S2,bindingdb,random,0.8915289140963579,0.010737935550342371,15,0.5511240672175202,0.03288370579237468,15,0.5234040005463941,0.023006940892682785,15,0.916899021825672,0.002920296969292911,15
arnoldi_v4,ArnoldiGCL without S1/S2,biosnap,cold_drug,0.8667395461084214,0.009301387816486513,15,0.5730888230750559,0.023681517848950274,15,0.5492234382905969,0.017480149971386347,15,0.9221932089731345,0.004810175470253495,15
arnoldi_v4,ArnoldiGCL without S1/S2,biosnap,cold_pair,0.6703438427768149,0.029163670901186628,15,0.209706740554252,0.028872365581274963,15,0.23043498891475067,0.061766724718044515,15,0.8445959228919109,0.04844543290420217,15
arnoldi_v4,ArnoldiGCL without S1/S2,biosnap,cold_protein,0.7382428151265706,0.02627809281905928,15,0.34238881027850065,0.05048173146908238,15,0.3604111211021149,0.05035894018322618,15,0.8911068533373441,0.020968214971109806,15
