method,method_label,dataset,scenario,seed,fold,split_signature,best_val_auc,n_test_positive,accuracy,auc,aupr,f1,threshold
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,4198936517,4,0f34655d6654128ba545e6b71007cf13a0096db925a2eca3b4d7ff413699a623,0.9803474666229974,4134,0.9846945507322866,0.9803261518051891,0.9389230981907748,0.9125408394068861,0.8899443581496203
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,983997847,0,50221d3d5a60a5f8305cd6466d4a636bf326cb35a8869f82e4274a1122350a14,0.9826925017070487,4135,0.9859953830933275,0.9829086820415571,0.9476906397356211,0.9188224799286352,0.9554410328603775
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,983997847,1,ca7853b850250bd472514b6099f39ed64f5af5c79271809d93cd00db9eb88d59,0.9795104828132745,4135,0.9826316368033418,0.9798950095697068,0.9357101945144786,0.899183256763655,0.8901249328704731
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,983997847,2,869a929e679ec92faf0964819aa84b6417cbbde21ead1497154a3892b41c1055,0.9776170662451804,4135,0.9835550181378476,0.9783336749867311,0.9369221137565784,0.9037818368922048,0.9483815800082193
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,983997847,3,0e34704dcc33f0c5c9228868f6d64cca9fa5b9d85a2e751d618cd9213aabcf4c,0.9801771455809009,4135,0.9850720017588216,0.9818628015481139,0.9425217075538285,0.9128033902658277,0.9481225689224999
arnoldi_s1,ArnoldiGCL + S1,bindingdb,random,983997847,4,f0040bedf05f81f4adef9fcf43325837a5e5af196f2e5cb5be7e93b9224a3eb6,0.9829755537490003,4134,0.9849584377886265,0.9812787785995469,0.9407583044255678,0.9135927235977767,0.9067953064017101
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,1941488137,0,0dde78d724b699a171b9e73ce8da6eed90afbb0e81889dba066c152277a6831a,0.9138876479182989,2947,0.9491007804546997,0.8947018869384463,0.7195237034255402,0.6876183263915183,0.7905683235599568
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,1941488137,1,05c1111bb5eaeec4581c48562a2d93fdad2397fb306560bc5c63ed2285481684,0.9121091337618241,2789,0.9544639655790605,0.9074997419175189,0.7524981490346131,0.7193088205746434,0.842326612472534
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,1941488137,2,8d7becc9ec965fae3cad75020e65aae6611a1463eb00b269d8a65490c505b6e2,0.912494302594577,2704,0.9472162452931684,0.8996095801530057,0.7206229639515402,0.6892319873317498,0.6024759378171939
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,1941488137,3,b69c25480603ce368168d2027d0440423f86dd2866e16d0ed5bac620472b87af,0.874841184007771,2578,0.9521475421397841,0.9058264686392767,0.7260536321078863,0.7022163704191354,0.7918664538697021
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,1941488137,4,c0fddbd8642abf6c3cf66942cdb56947649f142191b46a8425f429f532262ac6,0.8948806598313024,2812,0.9502133712660028,0.8861168870356468,0.7083807634211883,0.6828665568369028,0.8936159008169827
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,4198936517,0,5c219cc120686c883e7bf755698024447f43c50ba720467e8ea0c62d10c59c56,0.9079516644620811,2636,0.9527176162229273,0.8983165637571064,0.7334503020620181,0.710454065469905,0.7540456776341349
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,4198936517,1,3d6c3d07b85c2cc2d5be78939c078813b2caccd1365475fd07f9320e7ab8e035,0.9020852112252868,2980,0.9525930445393532,0.8898472760236027,0.7209603842108624,0.7037743042317957,0.8790452707875259
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,4198936517,2,8c83f85e76b7e1295bbdc5eeda9af96b06b5bebcc45111d68752138c42d35ae4,0.9257487766978276,2774,0.9471717899980336,0.892031690135354,0.6942494232259488,0.6658374792703151,0.7842303302190076
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,4198936517,3,f9c6e915b8e319425e68b7ed11852de6369777cb1df242e8acaaf7516c487593,0.908392667621971,2696,0.951106015646075,0.8852682069931056,0.7179673084304171,0.6857390550498483,0.8632271631286569
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,4198936517,4,8c25f08c33d9218824f51c83c6e15f1b38436e4c883a76888389a856c3727acb,0.9116956209283068,2744,0.9503379273787437,0.8905355456166225,0.7146735411033476,0.6834213305174235,0.8370781625460261
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,983997847,0,7073e1468209ad34718675fe4cde1f700224fc93c70c42e428ab87870680b0a4,0.8982574989985624,2804,0.9521787057450396,0.9079852172665502,0.7422254088381572,0.7020803878004443,0.7738109467127552
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,983997847,1,b09953fd4d7f62ee241de6a0743dee295aedf4f2c788ab85ac3d61b3d4534be6,0.882886367264335,2695,0.9465677179962895,0.8834630198849652,0.6861868672714246,0.660813704496788,0.5963929411156536
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,983997847,2,e03a947319a7ce0a30a9acde4d445c946a156102ab02ceeb9e0082a1c7577c02,0.9100765699187363,2817,0.9502049246458192,0.8935427482792806,0.7140978162505643,0.6885973763874874,0.8178262184335767
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,983997847,3,b2d432a7a3f9058c024f5f2578182a059bf5778bbcadeb61784cabe54ba6f18c,0.9174246700785144,2922,0.9517764918175596,0.8997470334093691,0.7296178320768965,0.7014637904468413,0.8085166194667553
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_drug,983997847,4,4662f7f454bfe52811ed009d8fdf5609c6f3c1f4ef1c5a40cf74dc10cf553ded,0.881311482168625,2592,0.9520903479236813,0.8904370999085506,0.7325128728529376,0.7133864876206463,0.5993584771678867
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,1941488137,0,81ff1cf1289174f7f6901b238f8274214b99ccf0b30871c1e9fb9c54824eaa64,0.6962827988338193,736,0.9177371541501976,0.796322014561673,0.40916299183807675,0.3669201520912547,0.7764123151563619
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,1941488137,1,eabf504c52c58bec765481fe1a8d067deb9776838063c0dd93aba9f9ca6a4f01,0.7677062988281252,536,0.8973880597014925,0.7640038496881265,0.42176401753837767,0.42105263157894735,0.4156545259364664
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,1941488137,2,71e439ff03789bdbb390dc0982ac35cf36ec23da8658bdc6f1c9507745b8db2c,0.7869405864197531,530,0.8977701543739279,0.7237052331790672,0.2632258043084219,0.2696078431372549,0.6170580129100854
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,1941488137,3,a2fec1a3c34444adeaee1cbd3ef8a0559776fb58b5a9dd7b001bf0798e165db1,0.8220758672520866,448,0.9172077922077922,0.7203239596619898,0.35896222324699045,0.3584905660377358,0.7099010026618228
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,1941488137,4,2d243d87e3fd1623d5b3ffa784324892aff86c3e2b7e6290683beb57d2989f5f,0.7337766383592372,567,0.8961038961038961,0.7562068997695099,0.3934917711475442,0.4151624548736462,0.4533176248204218
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,4198936517,0,d53948b107e6707f76abc6bf9e2514eb15982fc444fe80edcf89039c411d2277,0.7114134404674944,580,0.9087774294670846,0.7960124851367419,0.45070163050032874,0.4680073126142596,0.34781288706684765
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,4198936517,1,8bff8961308d7d7b0f11d6d7c62d411933414e2e6c9595b8e07a666c48d87f8f,0.7377126654064272,685,0.8875912408759125,0.6938863018807608,0.37341477365637704,0.36838180462341535,0.25736072136931226
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,4198936517,2,b06c142765e46d6b37f51c4a3b5e4e7e891c7f7d5174fb2d2222a0e978f374d4,0.7148373658067617,561,0.8554529249716416,0.7715714871266932,0.40466385066037447,0.40214477211796246,0.49216537325349574
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,4198936517,3,90617ac60f1398f5f2afa657254153ae236a96395e763562096e6ea10484c2ec,0.7386708944378386,486,0.897119341563786,0.7482745262409186,0.3653125466266467,0.39293598233995586,0.36830604868392414
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,4198936517,4,31c262bcb54487b7291c0f669411fd1ee4e817ab0fde336d5dc0811140ecd8b9,0.7682603550295858,495,0.8554637281910009,0.7173959800020406,0.342196250469611,0.3403185247275775,0.3153647436997662
arnoldi_s1,ArnoldiGCL + S1,biosnap,cold_pair,983997847,0,be2fa14682ea8a906e1802a152fe451a9cfa1250c630bcae12bca002a7e4c105,0.7604608976081699,542,0.8955048641395504,0.7513228305714792,0.37583704526755063,0.4072312083729781,0.41834891069425295
